ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-11-01,17.458694180000002,-6.340635554513594,42.42760091542481,17.458694180000002,17.458694180000002,0.1731762421475606,0.1731762421475606,0.1731762421475606,0.1731762421475606,0.1731762421475606,0.1731762421475606,0.0,0.0,0.0,17.631870422147564
2024-11-02,17.18024406554217,-7.17957663749451,42.269865549132774,17.18024406554217,17.18024406554217,0.6161066065597751,0.6161066065597751,0.6161066065597751,0.6161066065597751,0.6161066065597751,0.6161066065597751,0.0,0.0,0.0,17.796350672101944
2024-11-04,16.623343836626507,-5.093732879307251,42.846284379368,16.623343836626507,16.623343836626507,2.2856218050117882,2.2856218050117882,2.2856218050117882,2.2856218050117882,2.2856218050117882,2.2856218050117882,0.0,0.0,0.0,18.908965641638297
2024-11-05,16.344893722168674,-9.349926980379083,39.87214324692361,16.344893722168674,16.344893722168674,-0.12915785555685644,-0.12915785555685644,-0.12915785555685644,-0.12915785555685644,-0.12915785555685644,-0.12915785555685644,0.0,0.0,0.0,16.21573586661182
2024-11-06,16.066443607710845,-9.30960929538545,40.26106743234644,16.066443607710845,16.066443607710845,-0.6728395551205428,-0.6728395551205428,-0.6728395551205428,-0.6728395551205428,-0.6728395551205428,-0.6728395551205428,0.0,0.0,0.0,15.393604052590302
2024-11-07,15.787993493253012,-6.966362190351465,40.981135529596976,15.787993493253012,15.787993493253012,0.00511002580225997,0.00511002580225997,0.00511002580225997,0.00511002580225997,0.00511002580225997,0.00511002580225997,0.0,0.0,0.0,15.793103519055272
2024-11-08,15.50954337879518,-7.1547421495199615,39.74733110878672,15.50954337879518,15.50954337879518,0.17317624214677452,0.17317624214677452,0.17317624214677452,0.17317624214677452,0.17317624214677452,0.17317624214677452,0.0,0.0,0.0,15.682719620941956
2024-11-11,14.674193159931248,-7.873491353222444,42.13357850244111,14.674193159931248,14.674193159931248,2.28562180500591,2.28562180500591,2.28562180500591,2.28562180500591,2.28562180500591,2.28562180500591,0.0,0.0,0.0,16.95981496493716
2024-11-12,14.395743086976603,-9.943371122299718,38.39231899014943,14.395743086976603,14.395743086976603,-0.1291578555493075,-0.1291578555493075,-0.1291578555493075,-0.1291578555493075,-0.1291578555493075,-0.1291578555493075,0.0,0.0,0.0,14.266585231427296
2024-11-13,14.117293014021962,-10.177980180620517,37.353181084890245,14.117293014021962,14.117293014021962,-0.6728395551138575,-0.6728395551138575,-0.6728395551138575,-0.6728395551138575,-0.6728395551138575,-0.6728395551138575,0.0,0.0,0.0,13.444453458908106
2024-11-15,13.560392868112674,-10.71178898652737,38.074785460095725,13.560392868112674,13.560392868112674,0.17317624214470878,0.17317624214470878,0.17317624214470878,0.17317624214470878,0.17317624214470878,0.17317624214470878,0.0,0.0,0.0,13.733569110257383
2024-11-16,13.28194279515803,-10.374678976995282,38.89943439806018,13.28194279515803,13.28194279515803,0.6161066065618293,0.6161066065618293,0.6161066065618293,0.6161066065618293,0.6161066065618293,0.6161066065618293,0.0,0.0,0.0,13.898049401719858
2024-11-18,12.725042649248744,-10.019759973295475,39.71894172997883,12.725042649248744,12.725042649248744,2.285621805006188,2.285621805006188,2.285621805006188,2.285621805006188,2.285621805006188,2.285621805006188,0.0,0.0,0.0,15.010664454254933
2024-11-19,12.446623179001813,-13.275426249328953,36.88001084044691,12.446623179001813,12.446623179001813,-0.1291578555563127,-0.1291578555563127,-0.1291578555563127,-0.1291578555563127,-0.1291578555563127,-0.1291578555563127,0.0,0.0,0.0,12.3174653234455
2024-11-20,12.168203708754879,-11.77638384031656,36.202306570741904,12.168203708754879,12.168203708754879,-0.6728395551165927,-0.6728395551165927,-0.6728395551165927,-0.6728395551165927,-0.6728395551165927,-0.6728395551165927,0.0,0.0,0.0,11.495364153638286
2024-11-21,11.889784238507946,-13.602082995227928,36.66000229744579,11.889784238507946,11.889784238507946,0.005110025809523669,0.005110025809523669,0.005110025809523669,0.005110025809523669,0.005110025809523669,0.005110025809523669,0.0,0.0,0.0,11.89489426431747
2024-11-22,11.611364768261014,-11.68653204825801,36.28077318508202,11.611364768261014,11.611364768261014,0.173176242142643,0.173176242142643,0.173176242142643,0.173176242142643,0.173176242142643,0.173176242142643,0.0,0.0,0.0,11.784541010403657
2024-11-23,11.33294529801408,-13.445134131365972,34.57661469974364,11.33294529801408,11.33294529801408,0.6161066065664077,0.6161066065664077,0.6161066065664077,0.6161066065664077,0.6161066065664077,0.6161066065664077,0.0,0.0,0.0,11.949051904580488
2024-11-25,10.776106357520215,-10.96114265057755,37.06346691239213,10.776106357520215,10.776106357520215,2.2856218050064645,2.2856218050064645,2.2856218050064645,2.2856218050064645,2.2856218050064645,2.2856218050064645,0.0,0.0,0.0,13.061728162526679
2024-11-26,10.497686887273282,-14.09942176513885,34.4146441890771,10.497686887273282,10.497686887273282,-0.1291578555560409,-0.1291578555560409,-0.1291578555560409,-0.1291578555560409,-0.1291578555560409,-0.1291578555560409,0.0,0.0,0.0,10.368529031717241
2024-11-27,10.350377136664905,-13.768289178709285,33.374252836782446,10.350377136664905,10.350377136664905,-0.6728395551066548,-0.6728395551066548,-0.6728395551066548,-0.6728395551066548,-0.6728395551066548,-0.6728395551066548,0.0,0.0,0.0,9.67753758155825
